id,classificacao_da_ocorrencia,dt_da_ocorrencia,municipio,uf,regiao,fabricante,modelo
27505,Incidente,2021-03-15,MANAUS,AM,Norte,CESSNA AIRCRAFT,208 ANFIBIO
28383,Incidente,2021-06-08,SANTA BÁRBARA,MG,Sudeste,AIRBUS HELICOPTERS,AS 350 B3
28443,Incidente Grave,2021-06-10,SÃO PAULO,SP,Sudeste,EMBRAER,EMB-500
28543,Incidente,2021-06-23,GUARULHOS,SP,Sudeste,BOEING COMPANY,727-225
28544,Incidente,2021-06-18,BOA VISTA,RR,Norte,EMBRAER,ERJ 190-200 LR
31583,Incidente,2022-03-20,FORTALEZA,CE,Nordeste,BOEING COMPANY,737-8AS
39053,Incidente,2023-09-26,SALVADOR,BA,Nordeste,AIRBUS S.A.S.,A321-211
31572,Incidente,2022-03-11,NAVEGANTES,SC,Sul,AGUSTA,AW139
31574,Incidente,2022-03-14,MONTES CLAROS,MG,Sudeste,BEECH AIRCRAFT,C90A
31577,Acidente,2022-03-16,,BA,Nordeste,SIKORSKY AIRCRAFT,S-76C
31579,Acidente,2022-03-17,BRAGANÇA PAULISTA,SP,Sudeste,CESSNA AIRCRAFT,150L
31582,Incidente,2022-03-22,SÃO LUÍS,MA,Nordeste,EUROCOPTER FRANCE,AS 350 B2
31584,Incidente,2022-03-13,CAMPO GRANDE,MS,Centro-Oeste,EMBRAER,ERJ 190-200 LR
37406,Acidente,2023-05-25,QUIRINÓPOLIS ,GO,Centro-Oeste,CESSNA AIRCRAFT,A188
37406,Acidente,2023-05-25,QUIRINÓPOLIS ,GO,Centro-Oeste,CESSNA AIRCRAFT,A188
32209,Incidente Grave,2022-05-25,BARRA DE SÃO FRANCISCO,ES,Sudeste,ROBINSON HELICOPTER,R44 II
34006,Acidente,2022-09-10,ORIXIMINÁ,PA,Norte,CESSNA AIRCRAFT,208B
32208,Incidente,2022-05-25,CONFINS,MG,Sudeste,BOEING COMPANY,737-8EH
35029,Acidente,2022-11-17,NAVEGANTES,SC,Sul,CIMAER AER. E PROD. AERONAUTICOS LTDA,SPORTCRUISER SS120
36826,Incidente,2023-03-23,CAMPINAS,SP,Sudeste,AIRBUS S.A.S.,A321-251NX
36906,Ocorrência de Solo,2019-07-07,CAMPINAS,SP,Sudeste,AIRBUS S.A.S.,A330-941
37109,Acidente,2023-04-23,ALTAMIRA,PA,Norte,EMBRAER,EMB-810D
38308,Incidente Grave,2023-07-28,RIO DE JANEIRO ,RJ,Sudeste,BOEING COMPANY,737-8EH
38308,Incidente Grave,2023-07-28,RIO DE JANEIRO ,RJ,Sudeste,ROBINSON HELICOPTER,R44 II
38329,Acidente,2023-08-02,NAVIRAÍ ,MS,Centro-Oeste,ROBINSON HELICOPTER,R22 BETA
38370,Incidente,2023-08-14,PIRACICABA ,SP,Sudeste,CESSNA AIRCRAFT,208B
38375,Incidente,2023-08-06,NAVEGANTES ,SC,Sul,BOEING COMPANY,737-8 MAX
38367,Incidente,2023-07-21,CAMPINAS ,SP,Sudeste,EMBRAER,ERJ 190-200 LR
38378,Incidente,2023-08-15,SÃO PAULO ,SP,Sudeste,TEXTRON AVIATION,208B
38868,Incidente,2023-09-20,BELÉM,PA,Norte,NEIVA,EMB-720D
39046,Incidente,2023-04-22,PORTO SEGURO,BA,Nordeste,BOEING COMPANY,737-8EH
39050,Incidente,2023-05-02,JOÃO PESSOA ,PB,Nordeste,BOEING COMPANY,737-8AS
39086,Incidente,2023-05-03,BRASÍLIA,DF,Centro-Oeste,BOEING COMPANY,737-8 MAX
39166,Incidente,2023-08-20,BELO HORIZONTE ,MG,Sudeste,EMBRAER,ERJ 190-400
30905,Acidente,2021-06-08,RONDONÓPOLIS,MT,Centro-Oeste,CESSNA AIRCRAFT,310Q
31585,Acidente,2022-03-21,BRAGANÇA PAULISTA,SP,Sudeste,PIPER AIRCRAFT,PA-28-140
31586,Acidente,2022-03-23,BALSAS,MA,Nordeste,EMBRAER,EMB-810C
31588,Ocorrência Anormal,2022-03-22,SÃO PAULO,SP,Sudeste,PIPER AIRCRAFT,PA-34-220T
31589,Incidente,2022-03-19,CAMPINAS,SP,Sudeste,AIRBUS S.A.S.,A320-253N
31590,Incidente,2022-03-16,CAMPINAS,SP,Sudeste,EMBRAER,ERJ 190-200 LR
31689,Incidente,2022-03-31,SÃO PAULO,SP,Sudeste,DIAMOND AIRCRAFT,DA20-C1
32946,Incidente,2022-07-17,BRASÍLIA,DF,Centro-Oeste,CESSNA AIRCRAFT,750
33366,Incidente Grave,2022-07-26,RIO DE JANEIRO,RJ,Sudeste,CONSTRUZIONI AERONAUTICHE TECNAM S.R.L.,P92 ECHO
33486,Incidente,2022-08-10,RIO DE JANEIRO,RJ,Sudeste,BOEING COMPANY,737-8 MAX
36248,Incidente Grave,2023-01-28,MATEIROS,TO,Norte,PIPER AIRCRAFT,PA-46-500TP
27723,Ocorrência de Solo,2021-03-22,MANAUS,AM,Norte,BOEING COMPANY,737-48E
31007,Incidente Grave,2022-01-14,BAGÉ,RS,Sul,CIMAER AERON E PROD AERONAUTICOS LTDA,LIGHTNING
36248,Incidente Grave,2023-01-28,MATEIROS,TO,Norte,PIPER AIRCRAFT,PA-46-500TP
38888,Incidente,2023-09-22,	SÃO PAULO,SP,Sudeste,FLYER INDÚSTRIA AERONÁUTICA LTDA.,RV-10
38986,Incidente,2023-04-10,GUARULHOS,SP,Sudeste,BOEING COMPANY,737-8EH
39186,Incidente,2023-08-16,FORTALEZA,CE,Nordeste,AIRBUS S.A.S.,A321-251NX
39206,Incidente,2023-09-10,SÃO JOSÉ DOS PINHAIS,PR,Sul,AIRBUS S.A.S.,A320-214
40315,Incidente,2023-10-27,CASCAVEL ,PR,Sul,EMBRAER,ERJ 190-400
27724,Ocorrência de Solo,2021-03-26,CAMPINAS,SP,Sudeste,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,ATR-72-212A
30569,Acidente,2021-12-03,SANTO ANTÔNIO DO AMPARO,MG,Sudeste,ROBINSON HELICOPTER,R44 II
30823,Acidente,2021-12-28,DOURADOS,MS,Centro-Oeste,AIR TRACTOR,AT-502B
30823,Acidente,2021-12-28,DOURADOS,MS,Centro-Oeste,AIR TRACTOR,AT-502B
30823,Acidente,2021-12-28,DOURADOS,MS,Centro-Oeste,AIR TRACTOR,AT-502B
31207,Ocorrência Anormal,2017-05-09,SÃO PAULO,SP,Sudeste,BOEING COMPANY,737-8EH
31927,Incidente,2022-04-29,VILA VELHA,ES,Sudeste,EMBRAER,EMB-810D
31990,Ocorrência de Solo,2022-05-09,MANAUS,AM,Norte,CESSNA AIRCRAFT,208B
33747,Incidente,2022-08-24,RIO CLARO,SP,Sudeste,AERO BOERO,AB-180
